id_prod count pourcentage
2567 170 0.784
1534 170 0.784
199 170 0.784
5299 170 0.784
2869 170 0.784
7049 169 0.779
4372 169 0.779
2977 169 0.779
4010 169 0.779
6610 169 0.779
66 169 0.779
5467 169 0.779
2622 169 0.779
2771 169 0.779
5830 169 0.779
6830 169 0.779
6317 168 0.774
4835 168 0.774
1601 168 0.774
1132 168 0.774
4426 168 0.774
2435 168 0.774
2422 168 0.774
1215 168 0.774
6808 168 0.774
1281 168 0.774
5222 168 0.774
7278 168 0.774
1304 167 0.77
1676 167 0.77
2985 167 0.77
3354 167 0.77
5169 167 0.77
2886 167 0.77
4777 167 0.77
4469 167 0.77
1002 167 0.77
3618 167 0.77
3788 167 0.77
1139 166 0.765
5195 166 0.765
4472 166 0.765
1108 166 0.765
6027 166 0.765
5430 166 0.765
6020 166 0.765
7004 166 0.765
841 166 0.765
990 166 0.765
4636 166 0.765
3996 166 0.765
2194 166 0.765
5050 166 0.765
3089 166 0.765
3051 166 0.765
6961 166 0.765
5824 165 0.761
6656 165 0.761
1130 165 0.761
1527 165 0.761
